datetime,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_onshore,total_load_actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,is_rain
2017-07-12,8665.0,22914.0,236196.0,157818.0,8229.0,7805.0,12142.0,49151.0,154935.0,1311.0,2451.0,20614.0,7559.0,88302.0,744918.0,299.74566666666664,298.9166666666667,300.55,1017.45,57.208333333333336,1.975,145.59166666666667,0.0,13.183333333333334,0.0
2017-07-13,9592.0,22996.0,247573.0,143644.0,8224.0,0.0,16618.0,45693.0,134944.0,315.0,2219.0,49579.0,7401.0,77472.0,816326.0,300.548,299.7083333333333,301.34166666666664,1018.2416666666667,58.75,2.1083333333333334,185.68333333333334,0.0,21.5,0.0
2017-07-14,9645.0,21277.0,222497.0,129807.0,8206.0,496.0,15859.0,22826.0,139335.0,405.0,2208.0,53162.0,7845.0,155750.0,807731.0,299.8644166666666,299.09166666666664,300.65,1017.7833333333333,59.09166666666667,2.441666666666667,138.88333333333333,0.01,30.541666666666668,0.03333333333333333
2017-07-15,9112.0,13110.0,156500.0,111445.0,6907.0,5457.0,14615.0,21773.0,141881.0,162.0,2056.0,55422.0,8114.0,158903.0,717607.0,299.30075,298.675,299.925,1018.2333333333333,61.416666666666664,2.283333333333333,141.13333333333333,0.0,20.858333333333334,0.0
2017-07-16,8953.0,12102.0,149841.0,92143.0,5844.0,18204.0,14381.0,20616.0,141725.0,141.0,1939.0,58004.0,8169.0,130421.0,654711.0,300.0485,299.46666666666664,300.6,1018.6833333333333,57.18333333333333,2.1,145.125,0.0,4.675,0.0
2017-07-17,8669.0,19196.0,204136.0,133376.0,7436.0,1973.0,15457.0,23606.0,141612.0,313.0,2054.0,41007.0,7620.0,156527.0,784090.0,300.54491666666667,299.7083333333333,301.31666666666666,1016.4,52.983333333333334,2.2666666666666666,139.175,0.0,11.408333333333333,0.0
2017-07-18,8585.0,20071.0,191828.0,132552.0,8404.0,8007.0,15106.0,21896.0,141518.0,356.0,2124.0,41094.0,7391.0,191853.0,806907.0,300.60089430894305,299.540243902439,301.5890243902439,1013.7479674796748,54.146341463414636,2.707317073170732,145.78048780487805,0.03414634146341464,14.975609756097562,0.024390243902439025
2017-07-19,8990.0,21442.0,209313.0,129961.0,8243.0,5441.0,15186.0,23047.0,141685.0,356.0,2277.0,52643.0,7078.0,138009.0,796753.0,299.11491666666666,298.35,299.7916666666667,1013.675,58.24166666666667,3.0166666666666666,150.41666666666666,0.0175,22.608333333333334,0.041666666666666664
2017-07-20,9200.0,21205.0,217481.0,126138.0,8229.0,6424.0,15393.0,23272.0,141734.0,368.0,2392.0,57087.0,7314.0,96912.0,772158.0,297.33278688524587,296.6581967213114,297.96147540983605,1013.7868852459017,63.24590163934426,2.6885245901639343,144.0,0.012295081967213115,26.704918032786885,0.040983606557377046
2017-07-21,9252.0,18978.0,211774.0,114350.0,8433.0,5557.0,15670.0,24788.0,141943.0,349.0,2492.0,57626.0,7388.0,79974.0,753470.0,296.64677685950414,296.04256198347105,297.21611570247927,1012.4793388429752,62.05785123966942,2.743801652892562,161.38842975206612,0.0024793388429752063,29.214876033057852,0.008264462809917356
